source;target
Thompson, George,;Weston, Anne Warren,
Davis, Edward Morris,;Garrison, William Lloyd,
Gilmore, William R.2.;Garrison, William Lloyd,
Goodell, Lavinia.;Garrison, William Lloyd,
Stroud, George M.;Phillips, Wendell,
Stanton, Elizabeth Cady,;None
None;None
None;None
Chapman, Maria Weston,;None
Estlin, J. B.;Weston, Caroline,
Garrison, William Lloyd,;None
Garrison, William Lloyd,;None
Pillsbury, Parker,;May, Samuel,
Child,;None
Weston, Anne Warren,;Weston, Caroline,
Child,;Child,
Chapman, Maria Weston,;Garrison, Francis Jackson,
Grew, Mary,;May, Samuel,
Garrison, William Lloyd,;Thayer, Caroline Coddington,
Garrison, William Lloyd,;Villard, Fanny Garrison,
Weston, Caroline,;Garrison, Francis Jackson,
Weston, Caroline,;Garrison, William Lloyd,
Estlin, Mary Anne,;Weston, Emma Forbes,
Chapman, Elizabeth B.;May, Samuel,
Smith, Gerrit,;Garrison, William Lloyd,
Hale, Susan,;Chapman, Maria Weston,
May, Samuel,;Webb, Richard Davis,
Garrison, William Lloyd,;None
Weston, Deborah,;None
Weston, Anne Warren,;May, Samuel,
Garrison, William Lloyd,;Smith, Joshua Bowen,
Garrison, William Lloyd,;Villard, Fanny Garrison,
Chapman, Maria Weston,;Dicey, Anne Greene Chapman,
Ashurst, W. H.;Garrison, William Lloyd,
May, Samuel,;Webb, Richard Davis,
Garrison, William Lloyd,;Nichol, Elizabeth Pease,
Weston, Lucia,;Weston, Deborah,
May, Samuel,;Burleigh, Charles C.
Weston, Deborah,;Weston, Anne Warren,
Webb, Richard Davis,;Chapman, Maria Weston,
May, Samuel,;Burleigh, Charles C.
Garrison, William Lloyd,;Villard, Fanny Garrison,
Drake, Frances H.;Chapman, Maria Weston,
Garrison, William Lloyd,;Villard, Fanny Garrison,
Carlton, Harriette M.;Garrison, William Lloyd,
Quincy, Edmund,;Chapman, Maria Weston,
Garrison, William Lloyd,;Garrison, Wendell Phillips,
Wigham, Jane.;Chapman, Maria Weston,
Dodge, J. C.;Garrison, William Lloyd,
Chapman, Maria Weston,;Weston, Deborah,
Blackwell, Henry Browne,;Garrison, William Lloyd,
Child,;Child,
Garrison, William Lloyd,;Garrison, Wendell Phillips,
May, Samuel,;Burleigh, Charles C.
Child,;None
Sturge, Esther.;Chapman, Maria Weston,
Garrison, William Lloyd,;Garrison, Wendell Phillips,
None;None
Garrison, William Lloyd,;Garrison, Wendell Phillips,
Weston, Anne Warren,;Weston, Lucia,
Foster, Abby Kelley,;Chapman, Maria Weston,
Garrison, William Lloyd,;Garrison, Wendell Phillips,
Pillsbury, Parker,;May, Samuel,
Weston, Anne Warren,;Garrison, William Lloyd,
Chapman, Maria Weston,;Nichol, Elizabeth Pease,
Steinthal, S. Alfred.;May, Samuel,
Barker, Thomas H.;Garrison, William Lloyd,
Brady, Mary.;Chapman, Maria Weston,
May, Samuel,;Hall, Edward B.
Butman, Sarah L.;Weston,
May, Samuel,;Webb, Richard Davis,
Johnson, Oliver,;May, Samuel,
Chesson, F. W.;Garrison, William Lloyd,
Garrison, William Lloyd,;Garrison, Helen Eliza,
Chapman, Maria Weston,;Weston, Caroline,
Garrison, William Lloyd,;Villard, Fanny Garrison,
Child,;Chapman, Maria Weston,
Estlin, Mary Anne,;Weston, Anne Warren,
Browne, Martha Griffith,;Garrison, William Lloyd,
Brooks, Mary Merrick,;Chapman, Maria Weston,
Sturge, Esther.;Weston, Caroline,
Haughton, James,;May, Samuel,
May, Samuel,;Webb, Richard Davis,
Johnson, Oliver,;May, Samuel,
Ricketson, Joseph.;Weston, Deborah,
Garrison, William Lloyd,;Villard, Fanny Garrison,
Garrison, William Lloyd,;Hines, Harry C.
Armstrong, George,;May, Samuel,
May, Samuel,;Webb, Richard Davis,
Sellers, Samuel.;Chapman, Maria Weston,
May, Samuel,;Webb, Richard Davis,
Weston, Anne Warren,;May, Samuel,
Chapman, Maria Weston,;Weston, Deborah,
Steinthal, S. Alfred.;May, Samuel,
Garrison, William Lloyd,;Garrison, Francis Jackson,
Steinthal, S. Alfred.;Garrison, William Lloyd,
Weston, R. Warren;Weston, Deborah,
Thompson, George,;Weston, Anne Warren,
May, Samuel,;Estlin, J. B.
Weston, Caroline,;Garrison, William Lloyd,
Garrison, William Lloyd,;Garrison, Wendell Phillips,
May, Samuel,;Burleigh, Charles C.
Estlin, Mary Anne,;Weston, Caroline,
Ricketson, Joseph.;Weston, Deborah,
Garrison, William Lloyd,;May, Samuel,
Garrison, William Lloyd,;None
Estlin, Mary Anne,;Weston, Caroline,
Pugh, Sarah,;Weston, Caroline,
Ricketson, Joseph.;Weston, Deborah,
Garrison, William Lloyd,;Garrison, Wendell Phillips,
Webb, Richard Davis,;Chapman, Maria Weston,
Chapman, Maria Weston,;Garrison, Francis Jackson,
Bradford, Charlotte.;Weston,
Child,;Curtis, Anna Shaw,
Rodman, Elizabeth.;Chapman, Maria Weston,
Webb, Richard Davis,;Weston, Caroline,
May, Samuel,;Carpenter, Mary,
Estlin, Mary Anne,;Weston, Caroline,
Webb, Richard Davis,;Weston, Caroline,
M'Kim, J. Miller;Chapman, Maria Weston,
Pillsbury, Parker,;May, Samuel,
Ricketson, Joseph.;Weston, Deborah,
May, Samuel,;Webb, Richard Davis,
Garrison, William Lloyd,;Villard, Fanny Garrison,
May, Samuel,;May, Samuel J.
Donaldson, Christian.;Garrison, William Lloyd,
Paton, Catherine.;Weston, Anne Warren,
Andrews, John.;Garrison, William Lloyd,
Garrison, William Lloyd,;Thompson, George,
Chapman, Maria Weston,;Estlin, Mary Anne,
Estlin, Mary Anne,;Weston, Caroline,
Bush, Andrew M.;Garrison, William Lloyd,
Garrison, William Lloyd,;Villard, Fanny Garrison,
Duval-Sanadon, David,;None
Garrison, William Lloyd,;Villard, Fanny Garrison,
May, Samuel,;Webb, Richard Davis,
Estlin, J. B.;May, Samuel,
Garrison, William Lloyd,;Garrison, Francis Jackson,
Kimber, Abby,;Chapman, Maria Weston,
May, Samuel,;None
Baker, Edward L.;Chapman, Maria Weston,
Wigham, Eliza.;Estlin, Mary Anne,
Haughton, James,;Chapman, Maria Weston,
None;None
May, Samuel,;Burleigh, Charles C.
Estlin, Mary Anne,;Weston, Caroline,
Weston, Deborah,;Dicey, Anne Greene Chapman,
Garrison, William Lloyd,;Garrison, Francis Jackson,
May, Samuel,;Weston, Anne Warren,
May, Samuel,;Webb, Richard Davis,
Child,;Loring, Ellis Gray,
Garrison, William Lloyd,;Villard, Fanny Garrison,
Mott, James,;Weston, Anne Warren,
Chapman, Maria Weston,;Chapman, Maria Weston,
Johnson, Oliver,;Chapman, Maria Weston,
Estlin, Mary Anne,;Weston, Caroline,
Needles, William N.;Garrison, William Lloyd,
Jennings, Isabel.;Chapman, Maria Weston,
Garrison, William Lloyd,;Garrison, Helen Eliza,
Jennings, Isabel.;Chapman, Maria Weston,
Garrison, William Lloyd,;Villard, Fanny Garrison,
Garrison, William Lloyd,;May, Samuel,
Grew, Mary,;Garrison, William Lloyd,
Webb, Richard Davis,;Chapman, Maria Weston,
Carpenter, Mary,;Chapman, Maria Weston,
Child,;Wallcut, Robert Folger,
Estlin, Mary Anne,;Weston,
Smith, Elias,;Garrison, William Lloyd,
Webb, Richard Davis,;Chapman, Maria Weston,
Chapman, Maria Weston,;Weston, Caroline,
Childs,;Garrison, William Lloyd,
May, Samuel,;None
Conway, Moncure Daniel,;Garrison, William Lloyd,
Jennings, Jane.;Chapman, Maria Weston,
May, Samuel,;Carpenter, Mary,
Child,;Chapman, Maria Weston,
May, Samuel,;Webb, Richard Davis,
Wigham, Eliza;May, Samuel,
Garrison, William Lloyd,;Potter, Thomas Bayley,
Armstrong, George,;May, Samuel,
Quincy, Edmund,;Chapman, Maria Weston,
Hillier, Richard.;None
Steinthal, S. Alfred.;May, Samuel,
Hillier, Richard.;None
Smith, Evelina A. S.;Weston, Anne Warren,
Chapman, Maria Weston,;Estlin, Mary Anne,
Child,;May, Samuel,
None;None
Estlin, J. B.;Weston, Anne Warren,
Cooper, Joseph,;Garrison, William Lloyd,
Weston, Deborah,;Tudor, Frederic,
Higginson, Thomas Wentworth,;Garrison, William Lloyd,
Olds, C. G.;Child, Lydia Maria,
Wigham, Eliza.;May, Samuel,
Garrison, William Lloyd,;Johnson, Oliver,
None;Griffiths, Julia,
Clarkson, Thomas,;Lofft, Capel,
Chapman, Maria Weston,;None
Weston, Caroline,;May, Samuel,
Webb, Richard Davis,;Weston, Anne Warren,
Love, Alfred H.;Garrison, William Lloyd,
May, Samuel,;Webb, Richard Davis,
Barnaby, James.;Garrison, William Lloyd,
May, Samuel,;Webb, Richard Davis,
Chamerovzow, Louis Alexis.;Garrison, William Lloyd,
Garrison, William Lloyd,;Johnson, Oliver,
May, Samuel,;Estlin, J. B.
Weston, Anne Warren,;Estlin, Mary Anne,
Garrison, William Lloyd,;Garrison, Helen Eliza,
None;Forster, Josiah,
Ramsay, James,;None
None;None
May, Samuel,;Carter, H. W.
Chamberlain, Alice Ingersoll.;Garrison, William Lloyd,
Davis, Edward Morris,;Chapman, Maria Weston,
Garrison, William Lloyd,;Johnson, Oliver,
Garrison, William Lloyd,;None
May, Samuel,;Carpenter, Mary
Hughes, William,;None
Craft, William;May, Samuel,
Crafton, William Bell.;None
May, Samuel,;Webb, Richard Davis,
Nichol, John,;Garrison, William Lloyd,
Garrison, William Lloyd,;Villard, Fanny Garrison,
Barney, Nathaniel.;Chapman, Maria Weston,
Powell, Aaron M.;May, Samuel,
Clarkson, Thomas,;None
Garrison, William Lloyd,;None
Pillsbury, Parker,;May, Samuel,
Garrison, William Lloyd,;Chapman, Maria Weston,
Haughton, James,;Webb, Richard Davis,
Garrison, William Lloyd,;Allen, Nathaniel T.
Child,;Sargent, Henrietta.
May, Samuel,;Carpenter, Mary,
Garrison, William Lloyd,;Garrison, Wendell Phillips,
Garrison, William Lloyd,;Villard, Fanny Garrison,
Garrison, William Lloyd,;Garrison, Helen Eliza,
May, Mary Goddard,;Chapman, Maria Weston,
Stetson, Caleb,;May, Samuel,
May, Samuel,;None
Child,;Weston, Anne Warren,
Ramsay, James,;Beach, Samuel,
Webb, Richard Davis,;Chapman, Maria Weston,
May, Samuel,;Webb, Richard Davis,
May, Samuel,;Weston,
Weston, Anne Warren,;Gould,
Stetson, Caleb,;May, Samuel,
Bacon, George Allen,;Garrison, William Lloyd,
Foster, Abby Kelley,;Chapman, Maria Weston,
Weston, E.;May, Samuel,
May, Samuel,;Estlin, J. B.
Garrison, William Lloyd,;Villard, Fanny Garrison,
May, Samuel,;Webb, Richard Davis,
Clark, Rufus W.;None
Morse, Sidney E.;None
Webb, Richard Davis,;Weston, Caroline,
Garrison, William Lloyd,;Chapman, Maria Weston,
Quincy, Edmund,;Weston, Caroline,
Webb, Maria.;Chapman, Maria Weston,
May, Samuel,;Burleigh, Charles C.
May, Samuel,;Weston,
Quincy, Edmund,;Chapman, Maria Weston,
Chapman, Maria Weston,;Dicey, Anne Greene Chapman,
May, Samuel,;Webb, Richard Davis,
Garrison, William Lloyd,;Garrison, Wendell Phillips,
Tourjée, Eben,;Garrison, William Lloyd,
Armstrong, Frances.;May, Samuel,
Child, David Lee,;Chapman, Maria Weston,
Garrison, William Lloyd,;Garrison, Helen Eliza,
May, Sarah Russell,;Chapman, Maria Weston,
Garrison, William Lloyd,;None
Wigham, Jane.;Weston, Anne Warren,
Frothingham, Octavius Brooks,;Garrison, William Lloyd,
Benezet, Anthony,;None
Foster, Abby Kelley,;Garrison, William Lloyd,
Powell, Aaron M.;May, Samuel,
Grew, Mary,;Garrison, William Lloyd,
Benezet, Anthony,;Lofft, Capel,
Garrison, William Lloyd,;Nichol, Elizabeth Pease,
None;None
Benezet, Anthony,;Ady, John,
Ramsay, James,;Phillips, Wendell,
Johnson, Oliver,;Garrison, William Lloyd,
Garrison, William Lloyd,;Villard, Fanny Garrison,
Estlin, J. B.;Weston, Anne Warren,
May, Samuel,;Webb, Richard Davis,
Buzacott, Aaron.;Sturge, Edmund,
Pillsbury, Parker,;May, Samuel,
Burns, Anthony,;Garrison, William Lloyd,
Garrison, William Lloyd,;Garrison, Wendell Phillips,
May, Samuel,;Webb, Richard Davis,
Alset, George M.;Garrison, William Lloyd,
Garrison, William Lloyd,;Villard, Fanny Garrison,
Tilton, Theodore,;Garrison, William Lloyd,
Herndon, William Henry,;Garrison, William Lloyd,
Garrison, William Lloyd,;Villard, Fanny Garrison,
None;None
Herndon, William Henry,;Garrison, William Lloyd,
Webb, Richard Davis,;May, Samuel,
Chapman, Maria Weston,;Laugel, Leonce,
Townsend, Mira Sharples,;Chapman, Maria Weston,
Estlin, Mary Anne,;Garrison, William Lloyd,
Drake, Horatio N.;Garrison, William Lloyd,
James, William.;Chapman, Maria Weston,
Collins, John A.;Chapman, Maria Weston,
Garrison, William Lloyd,;Johnson, Oliver,
None;Weston, Deborah,
Dyer, Samuel.;Garrison, William Lloyd,
Fields, Annie,;Garrison, William Lloyd,
Eastman, Samuel B.;Garrison, William Lloyd,
Johnson, Oliver,;Garrison, William Lloyd,
Rawson, Mary Anne,;Garrison, William Lloyd,
None;None
Garrison, William Lloyd,;Weston, Anne Warren,
Marshall, Emma,;Chapman, Maria Weston,
Curtis, Thomas.;Garrison, William Lloyd,
Eddy, Mary C.;Weston, Deborah,
May, Samuel,;May, Samuel J.
Stetson, Caleb,;May, Samuel,
None;Weston, Deborah,
Clarke, Edward H.;Garrison, William Lloyd,
Chapman, Maria Weston,;Loring, Anna,
Chapman, Maria Weston,;Child, David Lee,
Albright, Arthur,;Garrison, William Lloyd,
Garrison, William Lloyd,;Garrison, Helen Eliza,
Chandler, William E.;Garrison, William Lloyd,
Lupton, Harriet.;Garrison, William Lloyd,
Quincy, Edmund,;Chapman, Maria Weston,
Chapman, Maria Weston,;Dicey, Anne Greene Chapman,
Tilton, Theodore,;Garrison, William Lloyd,
May, Samuel,;Carpenter, Mary,
Ammidon, Sylvia Ann.;Weston, Deborah,
None;None
Garrison, William Lloyd,;Johnson, Oliver,
Claflin, Jehiel.;Garrison, William Lloyd,
Lupton, Joseph.;Chapman, Maria Weston,
Garrison, William Lloyd,;Garrison, Helen Eliza,
Collingswood, C. S.;Garrison, William Lloyd,
Haughton, James,;May, Samuel,
Pugh, Sarah,;Chapman, Maria Weston,
Wigham, Eliza.;Wigham, Eliza,
Garrison, William Lloyd,;Benson, George William,
Andrew, John A.;Garrison, William Lloyd,
May, Samuel,;Garrison, William Lloyd,
Thompson, George,;Garrison, William Lloyd,
Garrison, William Lloyd,;Garrison, Helen Eliza,
Garrison, William Lloyd,;Garrison, Helen Eliza,
Estwick, Samuel,;Mansfield, William Murray,
Wigham, Eliza.;May, Samuel,
Clark, Helen P. Bright.;Garrison, William Lloyd,
Brown, John,;Garrison, William Lloyd,
Estlin, Mary Anne,;Garrison, William Lloyd,
May, Samuel,;Webb, Richard Davis
Banks, Frederick Charles.;Garrison, William Lloyd,
Foster, Abby Kelley,;Garrison, Helen Eliza,
Dickson, William.;Garrison, William Lloyd,
Wigham, Eliza.;May, Samuel,
Barker, Thomas H.;Garrison, William Lloyd,
May, Samuel,;Channing, W. H.
Hayden, Harriet W.;Chapman, Maria Weston,
Garrison, William Lloyd,;Rae, Robert,
Fakryensh, M. E.;Garrison, William Lloyd,
Quincy, Edmund,;Weston, Caroline,
Atkinson, Edward,;Garrison, William Lloyd,
Dow, Neal,;Garrison, William Lloyd,
Beaufoy, Henry,;Phillips, J.,
May, Samuel,;Carpenter, Mary,
None;May, Samuel,
Giddings, Lura Maria,;May, Samuel,
Garrison, William Lloyd,;None
Weston, Caroline,;Weston, Deborah,
M'Kim, J. Miller;Garrison, William Lloyd,
Garrison, William Lloyd,;Garrison, Helen Eliza,
Weston, Anne Warren,;Estlin, Mary Anne,
Garrison, William Lloyd,;May, Samuel,
May, Samuel,;Estlin, J. B.
Falconbridge, Alexander,;None
Allen, Nathaniel T.;Garrison, William Lloyd,
Nicolaus,;Bergame, Nicolas de,
None;None
Weston, Helen.;Weston, Deborah,
Estlin, Mary Anne,;Weston, Anne Warren,
Garrison, William Lloyd,;Garrison, Helen Eliza,
May, Samuel,;Webb, Richard Davis,
Estlin, J. B.;May, Samuel,
Danielson, Joseph.;Garrison, William Lloyd,
Garrison, William Lloyd,;Chapman, Maria Weston,
Bowditch, Henry I.;Wallcut, Robert Folger,
May, Samuel,;Webb, Richard Davis,
Garrison, William Lloyd,;Johnson, Oliver,
Garrett, Thomas,;Garrison, William Lloyd,
Quincy, Edmund,;Weston, Caroline,
Child,;Child,
Fox, William,;None
Nichol, John,;Garrison, William Lloyd,
Weston, Deborah,;Weston, Emma Forbes,
May, Samuel,;Burleigh, Charles C.
Garrison, William Lloyd,;Whittier, John Greenleaf,
Garrison, William Lloyd,;Johnson, Oliver,
Crafton, William Bell.;None
May, Samuel,;Garrison, William Lloyd,
Lupton, Joseph.;May, Samuel,
Chapman, Maria Weston,;Nichol, Elizabeth Pease,
Barney, Nathaniel.;Garrison, William Lloyd,
Chapman, Maria Weston,;Chapman, Maria Weston,
Frothingham, Frederick,;Garrison, William Lloyd,
None;None
Chapman, Maria Weston,;Child, David Lee,
Weston, R. Warren;Weston, Deborah,
Webb, Alfred,;Garrison, William Lloyd,
May, Samuel,;Webb, Richard Davis,
Bowe, Obadiah Allen,;Garrison, William Lloyd,
Webb, Richard Davis,;May, Samuel,
Wigham, Eliza.;May, Samuel,
May, Samuel,;Webb, Richard Davis,
Cogan, Sarah.;Chapman, Maria Weston,
None;None
Michell, Emma.;Weston,
Hall, Edward B.;May, Samuel,
Garrison, William Lloyd,;Garrison, Wendell Phillips,
Cogan, Sarah.;Garrison, William Lloyd,
Follen, Eliza Lee Cabot,;Chapman, Maria Weston,
May, Sarah Russell,;Garrison, William Lloyd,
Johnson, Oliver,;Garrison, William Lloyd,
Steinthal, S. Alfred.;May, Samuel,
Allen, Richard,;Chapman, Maria Weston,
Chapman, Maria Weston,;Estlin, Mary Anne,
Wadström, Carl Bernhard,;Arrhenius,
Armstrong, George,;May, Samuel,
Garrison, William Lloyd,;Villard, Fanny Garrison,
Carpenter, Mary,;Garrison, William Lloyd,
Child,;Child,
Garrison, William Lloyd,;Whittier, John Greenleaf,
Garrison, William Lloyd,;Johnson, Oliver,
Weston, Deborah,;Weston, Caroline,
Whitworth, Robert.;Garrison, William Lloyd,
May, Samuel,;Carpenter, Mary,
Chapin, Henry,;Garrison, William Lloyd,
Paton, Catherine.;Chapman, Maria Weston,
Garrison, William Lloyd,;None
Chapman, Maria Weston,;None
Porter, Charles,;Garrison, William Lloyd,
Quincy, Edmund,;Weston, Anne Warren,
Armstrong, Frances.;May, Samuel,
Chapman, Maria Weston,;Laugel, Elizabeth Bates Chapman,
Garrison, William Lloyd,;Garrison, Francis Jackson,
Browne, Lucy.;Chapman, Maria Weston,
Colman, Mary H.;Weston, Deborah,
Ricketson, Joseph.;Weston, Deborah,
May, Samuel,;None
Garrison, William Lloyd,;Carter, Joseph R.,
Butler, Josephine Elizabeth Grey,;Garrison, William Lloyd,
Weston, Lucia,;Weston, Anne Warren,
Grew, Mary,;Garrison, William Lloyd,
Cogan, Sarah.;Garrison, William Lloyd,
Aldrich, J. M.;Chapman, Maria Weston,
Giddings, Joshua R.;Garrison, William Lloyd,
Chapman, Maria Weston,;Garrison, William Lloyd,
Cochin, Augustin,;Garrison, William Lloyd,
Dow, Neal,;Garrison, William Lloyd,
None;None
Hill, Samuel L.,;Garrison, William Lloyd,
May, Samuel,;Estlin, J. B.
Butler, Josephine Elizabeth Grey,;Garrison, William Lloyd,
Eliot, William Greenleaf,;Garrison, William Lloyd,
Estlin, Mary Anne,;Chapman, Maria Weston,
Olin, William M.,;Garrison, William Lloyd,
Colesworthy, D. C.;Garrison, William Lloyd,
Cardozo, T. W.;Garrison, William Lloyd,
Quincy, Edmund,;Weston, Caroline,
Garrison, William Lloyd,;Whittier, John Greenleaf,
Dewey, Loring Daniel,;Boyer, Jean Pierre,
None;Scott, Dred,
Garrison, William Lloyd,;Johnson, Oliver,
Brooks, Mary Merrick,;Weston, Caroline,
Chapman, Maria Weston,;Jenny.
Jay, William,;None
May, Samuel,;May, Samuel,
Stephen, James,;None
Weston, Deborah,;Weston, Lucia,
May, Samuel,;Webb, Richard Davis,
Collins, John A.;Garrison, William Lloyd,
Pillsbury, Parker,;Garrison, William Lloyd,
Stetson, Caleb,;May, Samuel,
Chapman, Henry Grafton,;Weston, Deborah,
May, Samuel,;Weston, Anne Warren,
Jennings, Isabel.;Chapman, Maria Weston,
Snodgrass, J. E.;Chapman, Maria Weston,
Cobb, William N.;Garrison, William Lloyd,
Garrison, William Lloyd,;Allen, Ephraim Williams,
Barker, Thomas H.;Garrison, William Lloyd,
None;May, Samuel,
Wilson, Henry Joseph,;Garrison, William Lloyd,
Jordan, Gibbes Walker.;None
Weston, Anne Warren,;Weston, Deborah,
Bourne, Theodore,;Garrison, William Lloyd,
May, Samuel,;Burleigh, Charles C.
Chapman, Maria Weston,;Weston, Deborah,
Child,;Child,
Fitz, Charles F.;Garrison, William Lloyd,
Richmond, Legh,;None
Wilson, Daniel,;Denison, Charles Wheeler,
May, Samuel,;None
Hayden, Lewis,;Chapman, Maria Weston,
Heyrick, Elizabeth,;None
Macaulay, Zachary,;Denison, Charles Wheeler,
Weston, Anne Warren,;Weston, Emma Forbes,
Ammidon, Sylvia Ann.;Weston, Deborah,
May, Samuel,;None
Allen, Richard,;Chapman, Maria Weston,
Barnes, Albert,;Phillips, Wendell,
Torrey, Jesse,;Phillips, Wendell,
Hinckly, Francis.;Garrison, William Lloyd,
Spooner, Allen C.;Chapman, Maria Weston,
Chapman, Maria Weston,;Mary,
Davis, Catherine DeWolf Dodge,;Garrison, William Lloyd,
Barham, J. F.;None
Weston, Anne Warren,;Estlin, Mary Anne,
May, Samuel,;Burleigh, Charles C.
Collins, John A.;Weston, Anne Warren,
Garrison, William Lloyd,;Garrison, Helen Eliza,
Davis, Edward Morris,;Chapman, Maria Weston,
Fairbanks, Asa,;Garrison, William Lloyd,
Parrish, John,;None
Weston, Deborah,;None
Wallcut, Robert Folger,;May, Samuel,
Garrison, William Lloyd,;May, Samuel,
Moore, Frank,;Garrison, William Lloyd,
Weston, Anne Warren,;Weston, Deborah,
Foote, Hiram.;Garrison, William Lloyd,
Garrison, William Lloyd,;Nichol, Elizabeth Pease,
Brown, B. Gratz;Garrison, William Lloyd,
None;Weston, Anne Warren,
Moore, John,;None
Garrison, William Lloyd,;Garrison, Helen Eliza,
None;Swan, Caleb,
Griffiths, Julia,;Weston, Anne Warren,
Weston, Emma Forbes,;Weston, Deborah,
Ball, Lucy M.,;Weston, Anne Warren,
Quincy, Edmund,;None
Quincy, Edmund,;Chapman, Maria Weston,
May, Samuel,;Webb, Richard Davis,
Drake, Frances H.;Garrison, William Lloyd,
Brown, James C.;Garrison, William Lloyd,
Greener, Richard Theodore,;Garrison, William Lloyd,
Beecher, Henry Ward,;Garrison, William Lloyd,
Garrison, William Lloyd,;Garrison, Helen Eliza,
Stebbins, Sumner.;Garrison, William Lloyd,
Brisbane, William Henry,;Garrison, William Lloyd,
Chapman, Maria Weston,;None
Child, David Lee,;Chapman, Maria Weston,
Crandal, William L.;Garrison, William Lloyd,
May, Samuel,;Webb, Richard Davis,
Weston, R. Warren;Chapman, Maria Weston,
May, Samuel,;None
Cawthorne, Joseph.;None
Garrison, William Lloyd,;Shepard, George,
Garrison, William Lloyd,;Garrison, Helen Eliza,
Garrison, William Lloyd,;Chapman, Henry Grafton,
Chapman, Maria Weston,;Estlin, J. B.
None;Gilliland, James,
Garrison, William Lloyd,;Villard, Fanny Garrison,
Weston, Caroline,;Weston, Anne Warren,
Chapman, Maria Weston,;Weston, Deborah,
Weston, Caroline,;None
Child,;Chapman, Maria Weston,
Estlin, Mary Anne,;Chapman, Maria Weston,
Foster, Abby Kelley,;Chapman, Maria Weston,
Brown, A. P.;Garrison, William Lloyd,
Wigham, Eliza.;May, Samuel,
Love, Alfred H.;Garrison, William Lloyd,
Pugh, Sarah,;Chapman, Maria Weston,
Lyman, Theodore,;Everett, Oliver,
None;None
May, Samuel,;Estlin, J. B.
Chapman, Maria Weston,;Weston, Deborah,
Ferguson, Robert.;Garrison, William Lloyd,
Raper, James Hayes.;Garrison, William Lloyd,
Garrison, William Lloyd,;Villard, Fanny Garrison,
Weston, Anne Warren,;Weston, Mary,
Vincent, Henry,;Garrison, William Lloyd,
Weston, Caroline,;Weston, Deborah,
Weston, Anne Warren,;Weston, Deborah,
Farnsworth, Amos,;Chapman, Maria Weston,
Beecher, Henry Ward,;Garrison, William Lloyd,
Weston, Emma Forbes,;Weston, Deborah,
Ricketson, Joseph.;Weston, Deborah,
Child,;Child,
Clarke, Enos.;Garrison, William Lloyd,
Jay, William,;None
Estlin, Mary Anne,;Weston, Anne Warren,
Johnson, Oliver,;Chapman, Maria Weston,
Holyoake, George Jacob,;Garrison, William Lloyd,
Garrison, William Lloyd,;Garrison, Helen Eliza,
Garrison, William Lloyd,;Wright, Henry Clarke,
Garrison, William Lloyd,;Garrison, Helen Eliza,
Arnoth, G. U.;Garrison, William Lloyd,
None;None
Logan, William,;Garrison, William Lloyd,
None;None
Phelps, Amos A.;Weston, Caroline,
Child,;Stevenson,
Garrison, William Lloyd,;Garrison, Helen Eliza,
Weston, Anne Warren,;Rogers, Nathaniel Peabody,
Davis, Edward Morris,;Mott, James,
Jackson, Francis,;May, Samuel,
McFadden, Albert.;Garrison, William Lloyd,
Horton, Martha A.;Garrison, William Lloyd,
Estlin, Mary Anne,;Chapman, Maria Weston,
Denison, Charles Wheeler,;Garrison, William Lloyd,
Chapman, Henry Grafton,;Chapman, Maria Weston,
Garrison, William Lloyd,;Johnson, Oliver,
Lewis, Stuart,;None
Chapman, Maria Weston,;M'Kim, J. Miller
Hoskin, John.;Garrison, William Lloyd,
Butler, Josephine Elizabeth Grey,;Garrison, William Lloyd,
Quincy, Edmund,;Chapman, Maria Weston,
Webb, Richard Davis,;Weston, Anne Warren,
Ladies of Perth.;Chapman, Maria Weston,
None;None
Hoar, George Frisbie,;Garrison, William Lloyd,
Garrison, William Lloyd,;Farnsworth, Amos,
None;None
None;None
None;Davison, Thomas,
Sanborn, F. B.;Garrison, William Lloyd,
Chapman, Maria Weston,;None
None;Vaux, Roberts,
Ammidon, Sylvia Ann.;Weston, Deborah,
Cheever, Henry T.;Garrison, William Lloyd,
Dugdale, Ruth.;Garrison, William Lloyd,
Chapman, Maria Weston,;Estlin, J. B.
Douglass, Margaret Crittenden.;None
Grimké, Sarah Moore,;Weston, Anne Warren,
Barker, Thomas H.;Garrison, William Lloyd,
Estlin, Mary Anne,;Weston, Emma Forbes,
Allen, Ephraim W.;Garrison, William Lloyd,
Garrison, William Lloyd,;Benson, Henry Egbert,
Phillips, Wendell,;Chapman, Maria Weston,
None;None
None;None
Cobb, Samuel C.;Garrison, William Lloyd,
Chesson, F. W.;Garrison, William Lloyd,
May, Samuel,;Webb, Richard Davis,
Grimké, Sarah Moore,;Weston, Anne Warren,
Davis, Edward Morris,;Chapman, Maria Weston,
Chapman, Maria Weston,;Weston, Lucia,
Lewis, Jarvis.;Chapman, Maria Weston,
Chapman, Maria Weston,;Garrison, Francis Jackson,
Garrison, William Lloyd,;Chapman, Maria Weston,
Brooke, Abraham.;Garrison, William Lloyd,
None;Browett, T.,
May, Samuel,;None
Smith, Increase S.;Weston, Caroline,
Foster, Stephen S.;May, Samuel,
Chapman, Maria Weston,;Weston, Caroline,
Fuller, Stephen,;None
Quincy, Edmund,;Chapman, Maria Weston,
Fairchild, Charles Grandison,;Garrison, William Lloyd,
MacQueen, James,;None
Child,;Larcom, Lucy,
